ogc_fid,sector,cod_col,name,NEIGHBORHOOD,alias,AliasType,GISID,uid
7975,35,3541,YAGUACIRE ( LOS HORCONES ),YAGUACIRE ( LOS HORCONES ),YAGUACIRE ( LOS HORCONES ),Default,586,35-YAGHOR-002
9628,35,3529,YAGUACIRE ( NUEVA CONCEPCION ),YAGUACIRE ( NUEVA CONCEPCION ),YAGUACIRE ( NUEVA CONCEPCION ),Default,359,35-YAGNUE-002
9730,35,3516,YAGUACIRE ( SAN ANTONIO DE PAGUA ),YAGUACIRE ( SAN ANTONIO DE PAGUA ),YAGUACIRE ( SAN ANTONIO DE PAGUA ),Default,908,35-YAGSAN-001
6830,35,3541,YAGUACIRE (LOS HORCONES),YAGUACIRE (LOS HORCONES),YAGUACIRE (LOS HORCONES),Default,876,35-YAGHOR-003
5993,35,3524,YAGUACIRE-LAGUNA DEL PESCADO,YAGUACIRE-LAGUNA DEL PESCADO,YAGUACIRE-LAGUNA DEL PESCADO,Default,946,35-YAGLAG-001
5997,35,3541,YAGUACIRE-LOS HORCONES,YAGUACIRE-LOS HORCONES,YAGUACIRE-LOS HORCONES,Default,110,35-YAGHOR-001
4883,28,2819,YAGUACIRE-OJO DE AGUA,YAGUACIRE-OJO DE AGUA,YAGUACIRE-OJO DE AGUA,Default,960,28-YAGOJO-001
8651,35,3541,"YAGUACIRE, LOS HORCONES","YAGUACIRE, LOS HORCONES","YAGUACIRE, LOS HORCONES",Default,933,35-YAGHOR-004
126,45,,ZAMBRANO,ZAMBRANO,ZAMBRANO,Default,970,45-ZAMXXX-001
699,42,4203,ZAMBRANO,ZAMBRANO,ZAMBRANO,Default,1005,42-ZAMXXX-001
641,42,4203,ZAMBRANO - EL TABLON,ZAMBRANO - EL TABLON,ZAMBRANO - EL TABLON,Default,535,42-ZAMTAB-002
619,42,4203,ZAMBRANO ( EL TABLON ),ZAMBRANO ( EL TABLON ),ZAMBRANO ( EL TABLON ),Default,680,42-ZAMTAB-004
661,42,4205,ZAMBRANO ( LAS LIMAS ),ZAMBRANO ( LAS LIMAS ),ZAMBRANO ( LAS LIMAS ),Default,1271,42-ZAMLIM-003
690,42,4201,ZAMBRANO (EL TABLON),ZAMBRANO (EL TABLON),ZAMBRANO (EL TABLON),Default,269,42-ZAMTAB-001
669,42,4205,ZAMBRANO (LAS LIMAS),ZAMBRANO (LAS LIMAS),ZAMBRANO (LAS LIMAS),Default,837,42-ZAMLIM-001
689,42,4205,ZAMBRANO LAS LIMAS,ZAMBRANO LAS LIMAS,ZAMBRANO LAS LIMAS,Default,1076,42-ZAMLIM-002
617,42,4203,ZAMBRANO-EL TABLON,ZAMBRANO-EL TABLON,ZAMBRANO-EL TABLON,Default,642,42-ZAMTAB-003
15717,13,1344,COLONIA CENTRO AMERICA OESTE,CENTRO AMERICA OESTE,CENTRO AMERICA OESTE,Default,1264,13-CENAME-001
10583,7,765,COLONIA ZAPOTE NORTE,ZAPOTE NORTE,ZAPOTE NORTE,Default,904,07-ZAPNOR-001
355,2,211,COLONIA ZARAGOZA,ZARAGOZA,ZARAGOZA,Default,1281,02-ZARXXX-001
10659,16,1656,RESIDENCIAL ZARAHEMLA,ZARAHEMLA,ZARAHEMLA,Default,1311,16-ZARXXX-001
7210,7,0,ZONA CLINICA PERIFERICA IHSS,ZONA CLINICA PERIFERICA IHSS,ZONA CLINICA PERIFERICA IHSS,Default,1107,07-ZONCLI-001
3100,8,826,ZONA  EL HATILLO,ZONA EL HATILLO,ZONA EL HATILLO,Default,475,08-ZONHAT-001
9254,23,2301,COLONIA ZUNLACAL,ZUNLACAL,ZUNLACAL,Default,78,23-ZUNXXX-001
500,36,,RESIDENCIAL LAS CASITAS,LAS CASITAS,RESIDENCIAL LAS CASITAS,Default,921,36-CASXXX-002
16479,13,1368,COLONIA PIEDRA BLANCA (ALTOS DE LA MAYANGLE,PIEDRA BLANCA (ALTOS DE LA MAYANGLE,ALTOS DE LA MAYANGLE,Agency variations,748,13-PIEBLA-001
16479,13,1368,COLONIA PIEDRA BLANCA (ALTOS DE LA MAYANGLE,PIEDRA BLANCA (ALTOS DE LA MAYANGLE,ALTOS DEL MAYANGLE,Agency variations,748,13-PIEBLA-001
36,11,1104,COLONIA ALTOS DE MIRAMONTES,ALTOS DE MIRAMONTES,ALTOS MIRAMONTES,Agency variations,1034,11-ALTMIR-001
10828,16,1621,RSIDENCIAL ECO VIVIENDAS,RESIDENCIAL ECO VIVIENDAS,ECO VIVIENDAS,Agency variations,1058,16-RSIECO-001
10828,16,1621,RSIDENCIAL ECO VIVIENDAS,RESIDENCIAL ECO VIVIENDAS,ECO- VIVIENDAS,Agency variations,1058,16-RSIECO-001
10828,16,1621,RSIDENCIAL ECO VIVIENDAS,RESIDENCIAL ECO VIVIENDAS,ECOVIVIENDAS,Agency variations,1058,16-RSIECO-001
1935,32,3201,URBANIZACIONES PINARES DE UYUCA,URBANIZACIONES PINARES DE UYUCA,RESID. PINARES DEL UYUCA,Agency variations,403,32-URBPIN-001
8644,18,1824,CONDOMINIOS QUINTA BELLA,CONDOMINIOS QUINTA BELLA,QUINTA BELLA,Agency variations,234,18-CONQUI-001
9379,23,2303,COLONIA LOS ROBLES,LOS ROBLES,ROBLE,Agency variations,670,23-ROBXXX-001
1,20,2019,RESIDENCIAL HONDURAS,HONDURAS,RESID. HONDURAS,Agency variations,746,20-HONXXX-001
57,23,2330,RESIDENCIAL PALMA REAL,PALMA REAL,RESID. PALMA REAL,Agency variations,551,23-PALREA-001
2162,9,937,RESIDENCIAL EL JARDIN,EL JARDIN,RESID. EL JARDIN,Agency variations,1245,09-JARXXX-001
461,10,1006,COLONIA LOMAS DEL GUIJARRO,LOMAS DEL GUIJARRO,TORRE SKY,Building,623,10-LOMGUI-001
461,10,1006,COLONIA LOMAS DEL GUIJARRO,LOMAS DEL GUIJARRO,SKY,Agency variations,623,10-LOMGUI-001
461,10,1006,COLONIA LOMAS DEL GUIJARRO,LOMAS DEL GUIJARRO,Skype,Agency variations,623,10-LOMGUI-001
1099,4,408,COLONIA LARA,LARA,TORRE LARA,Building,664,04-LARXXX-001
7,17,1726,RESIDENCIAL EL TRAPICHE,EL TRAPICHE,TRAPICHE,Agency variations,311,17-TRAXXX-001
15717,13,1344,COLONIA CENTRO AMERICA OESTE,CENTRO AMERICA OESTE,CENTROAMERICA OESTE,Agency variations,1264,13-CENAME-001
409,4,412,BARRIO SAN FELIPE,SAN FELIPE,CENTRO DE NEGOCIOS MORAZAN,Building,38,04-SANFEL-001
1,20,2019,RESIDENCIAL HONDURAS,HONDURAS,RESIDENCIAL HONDURAS,Default,746,20-HONXXX-001
1,14,1401,COLONIA CERRO GRANDE ZONA 2,CERRO GRANDE ZONA 2,CERRO GRANDE 2,Agency variations,1212,14-CERGRA-001
1771,8,814,COLONIA CERRO GRANDE ZONA 4,CERRO GRANDE ZONA 4,CERRO GRANDE 4,Agency variations,1363,08-CERGRA-004
10828,16,1621,RSIDENCIAL ECO VIVIENDAS,RESIDENCIAL ECO VIVIENDAS,ECO-VIVIENDA,Agency variations,1058,16-RSIECO-001
516,4,415,COLONIA SAN RAFAEL,SAN RAFAEL,BARRIO SAN RAFAEL,Default,280,04-SANRAF-001
901,5,504,BARRIO MORAZAN,MORAZAN,BO MORAZAN,Agency variations,863,05-MORXXX-001
157,1,110,BARRIO LA PLAZUELA,LA PLAZUELA,BO LA PLAZUELA,Agency variations,964,01-PLAXXX-001
4253,21,2109,COLONIA CALPULES,CALPULES,COLONIA CALPULES,Default,293,21-CALIIX-001
461,10,1006,COLONIA LOMAS DEL GUIJARRO,LOMAS DEL GUIJARRO,LOMAS GUIJARRO,Agency variations,623,10-LOMGUI-001
696,11,1109,COLONIA LOMA LINDA NORTE,LOMA LINDA NORTE,LOMA LINDA,Default,980,11-LOMLIN-002
1099,4,408,COLONIA LARA,LARA,LA  LARA,Agency variations,664,04-LARXXX-001
461,10,1006,COLONIA LOMAS DEL GUIJARRO,LOMAS DEL GUIJARRO,HORIZONTE GUIJARRO,Building,623,10-LOMGUI-001
1099,4,408,COLONIA LARA,LARA,COSTA PROCERES,Building,664,04-LARXXX-001
1790,17,1723,RESIDENCIAL LA HACIENDA,LA HACIENDA,GREEN TOWER,Building,567,17-HACXXX-001
13,11,1101,COLONIA HUMUYA,HUMUYA,LA HUMUYA,Default,689,11-HUMXXX-001
1033,10,1007,RESIDENCIAL LA CUMBRE,LA CUMBRE,LAS CUMBRES,Agency variations,613,10-CUMXXX-001
968,10,1003,COLONIA LAS MINITAS,LAS MINITAS,MINITAS,Agency variations,686,10-MINXXX-001
6,10,1008,COLONIA LOMAS DEL MAYAB,LOMAS DEL MAYAB,MAYAB,Agency variations,805,10-LOMMAY-001
6,10,1008,COLONIA LOMAS DEL MAYAB,LOMAS DEL MAYAB,LOMAS MAYAB,Agency variations,805,10-LOMMAY-001
6215,17,1727,SAN IGNACIO,SAN IGNACIO,PALMERAS DE SAN IGNACIO,Agency variations,839,17-SANIGN-002
10828,16,1621,RSIDENCIAL ECO VIVIENDAS,RESIDENCIAL ECO VIVIENDAS,ECOVIENDA,Agency variations,1058,16-RSIECO-001
10828,16,1621,RSIDENCIAL ECO VIVIENDAS,RESIDENCIAL ECO VIVIENDAS,ECO VIENDA,Agency variations,1058,16-RSIECO-001
2500,19,1934,RESIDENCIAL ALTOS DE MIRAFLORES SUR,ALTOS DE MIRAFLORES SUR,ALTOS DE MIRAFLORES SUR,Default,1331,19-ALTMIR-003
