Neighborhood,Zone,objectid,Neighborhood,Corr,Dist,SectorGis,,
CEMENTERIO SANTA ANITA,R3,651,CEMENTERIO SANTA ANITA,0,DU11,SECTOR 13,,
CENTENO NRO. 1,R3,948,COLONIA LOS CENTENOS,2512,DU11,SECTOR 25,,
CENTENO NRO. 2,R3,949,COLONIA LOS CENTENOS II,2543,DU11,SECTOR 25,,
CENTRO,CH,462,BARRIO EL CENTRO,103,DU01,,,
CENTRO AMERICA OESTE BLOQUE Y-Y,R3,619,COLONIA CENTRO AMERICA OESTE,1344,DU11,SECTOR 13,,
CENTRO CIVICO GUBERNAMENTAL,G,,,,,,,
CENTRO DE RECREACION LA ISLA,AR/D3,493,BARRIO LA ISLA,509,DU02,SECTOR 05,,
CENTROAMERICA ESTE TODAS LAS ETAPAS,R4,623,RESIDENCIAL CENTRO AMERICA ESTE I ETAPA,1320,DU05,SECTOR 13,,
CENTROAMERICA OESTE TODAS LAS ETAPAS,R4,619,COLONIA CENTRO AMERICA OESTE,1344,DU11,SECTOR 13,,
CENTROAMERICANA,R3,639,COLONIA CENTROAMERICANA,1321,DU05,SECTOR 13,,
CENTROAMERICANA FECOVIL,R3,639,COLONIA CENTROAMERICANA,1321,DU05,SECTOR 13,,
CERRITOS,R3,540,CERRITOS,904,DU07,SECTOR 09,,
CERRO EL PICACHO,AR,535,CERRO EL PICACHO,0,DU07,SECTOR 08,,
CERRO GRANDE ZONA 2 Y ZONA 6,R-4,654,COLONIA CERRO GRANDE ZONA 2,1401,DU06,SECTOR 14,,
CERRO GRANDE ZONA 4 Y ZONA 5,R2,517,COLONIA CERRO GRANDE ZONA 4,814,DU06,SECTOR 08,,
CERRO GRANDE ZONA 7,R-3,,,,,,,
CERRO GRANDE ZONA 8,R4,523,COLONIA CERRO GRANDE ZONA 8 I ETAPA,840,DU06,SECTOR 08,,
"CERRO GRANDE, ZONA 1",R1,,,,,,,
"CERRO GRANDE, ZONA 3",R4,519,COLONIA CERRO GRANDE ZONA 3,813,DU06,SECTOR 08,,
CERRO JUANA LAINEZ,AR,494,CERRO JUANA LAINEZ,508,DU02,SECTOR 05,,
CHALET FRANCES,R1,87,CHALET FRANCES SAN IGNACIO,1825,DU02,SECTOR 17,,
CHALET SUIZO,R1,,,,,,,
CIUDAD ESPAÑA,R3,,,,,,,
CIUDAD ESPERANZA / EXP -6500-15 / 4251-15,R4,,,,,,,
CIUDAD JARDIN,R3,334,RESIDENCIAL CIUDAD JARDIN,2029,DU09,SECTOR 20,,
CIUDAD LEMPIRA,R4,73,RESIDENCIAL CIUDAD LEMPIRA I ETAPA,1362,DU11,SECTOR 13,,
CIUDAD LEMPIRA II ETAPA,R3,73,RESIDENCIAL CIUDAD LEMPIRA I ETAPA,1362,DU11,SECTOR 13,,
CIUDAD NUEVA,R1,996,RESIDENCIAL CIUDAD NUEVA,2420,DU04,SECTOR 24,,
CIUDAD TÉCNOLÓGICA ROSA DE LOBO (ALCAZAR DEL SUR),R3,,,,,,,
COFRADIA,R3,808,COLONIA COFRADIA,743,DU05,SECTOR 07,,
COL 13 DE JULIO,R3,719,COLONIA 13 DE JULIO,1615,DU02,SECTOR 16,,
COL 14 DE ENERO,R3,616,COLONIA 14 DE ENERO,0,DU11,SECTOR 13,,
