Neighborhood,Zone,objectid,Neighborhood,Corr,Dist,SectorGis,,
VEGAS DEL CARRIZAL,R3,950,COLONIA LAS VEGAS DEL CARRIZAL,0,DU11,SECTOR 25,,
VEGAS DEL CONTRY,R3,635,COLONIA VEGAS DEL COUNTRY,1330,DU05,SECTOR 13,,
VEGAS DEL RIO,R4,243,COLONIA VEGAS DEL RIO,2138,DU03,SECTOR 21,,
VENECIA DEL TRAPICHE,R4,95,VENECIA DEL TRAPICHE ETAPA IIA,1733,DU02,SECTOR 17,,
VENECIA ETAPA 1 Y ETAPA 2,R3,379,RESIDENCIAL VENECIA I ETAPA,2151,DU09,SECTOR 21,,
VIA LIA,UR,,,,,,,
VICTOR F ARDON,R4,184,COLONIA VICTOR F ARDON,2008,DU09,SECTOR 20,,
VIEJA SANTA ROSA,R3,553,COLONIA VIEJA SANTA ROSA,913,DU07,SECTOR 09,,
VIENA,R4,185,RESIDENCIAL VIENA,2030,DU09,SECTOR 20,,
VIERA,R1,468,COLONIA VIERA,301,DU07,SECTOR 03,,
VILLA ADELA,R3,515,BARRIO VILLA ADELA,603,DU05,SECTOR 06,,
VILLA ALONDRA,R1,425,VILLAS ALONDRA,0,DU04,SECTOR 23,,
VILLA AURORA,R3,0,VILLA AURORA,2925,DU08,SECTOR 29,,
VILLA BENETO,R3,228,RESIDENCIAL VILLA BENETTON,1930,DU03,SECTOR 19,,
VILLA CAMPESINA,R3,,,,,,,
VILLA COLONIAL,R3,740,RESIDENCIAL VILLA COLONIAL,1647,DU08,SECTOR 16,,
VILLA CRISTINA,R3,229,RESIDENCIAL VILLA SANTA CRISTINA,1938,DU03,SECTOR 19,,
VILLA CRISTINA,R4,777,COLONIA VILLA CRISTINA,745,DU06,SECTOR 07,,
VILLA DE LOS CIRUELOS,R3,733,COLONIA VILLA LOS CIRUELOS,1626,DU02,SECTOR 16,,
VILLA DE ZAMBRANO,R3,,,,,,,
VILLA DELMY,R4,550,RESIDENCIAL VILLA DELMY,914,DU07,SECTOR 09,,
VILLA ELENA,UR,,,,,,,
VILLA ESMERALDA,R3,328,RESIDENCIAL VILLA ESMERALDA I ETAPA,1932,DU03,SECTOR 19,,
VILLA ESMERALDA SEGUNDA ETAPA,R3,328,RESIDENCIAL VILLA ESMERALDA I ETAPA,1932,DU03,SECTOR 19,,
VILLA ESPAÑOLA,R4,47,COLONIA VILLA ESPA√ëOLA,1206,DU04,SECTOR 12,,
VILLA FLORENCIA,R1,332,VILLA FLORENCIA,1738,DU02,SECTOR 17,,
VILLA FRANCA,R3,781,COLONIA VILLA FRANCA,770,DU06,SECTOR 07,,
VILLA LA ESTANZUELA,HATILLO,545,COLONIA VILLA ESTANZUELA,0,DU07,SECTOR 09,,
VILLA LAS HORTENCIAS EL SAUCE II ETAPA (CONDOMINIO HORIZONTAL),R3,897,VILLA LAS HORTENCIAS,2828,DU10,SECTOR 28,,
VILLA LAS ORQUIDEAS EL SAUCE I ETAPA,R3,901,VILLA ORQUIDEAS,2823,DU10,SECTOR 28,,
VILLA LAS PERLAS,R3,,,,,,,
VILLA LOS ALMENDROS EL SAUCE I ETAPA,R3,,,,,,,
VILLA LOS JAZMINES EL SAUCE II ETAPA (CONDOMINIO HORIZONTAL),R3,896,VILLA LOS JAZMINES,2830,DU10,SECTOR 28,,
VILLA LOS LAURELES,R3,65,COLONIA VILLA LOS LAURELES,1378,DU11,SECTOR 13,,
VILLA LOS NARANJOS EL SAUCE III ETAPA (CONDOMINIO HORIZONTAL),R3,894,VILLA LOS NARANJOS,2832,DU10,SECTOR 28,,
VILLA LOS TULIPANES SAUCE II ETAPA (CONDOMINIO HORIZONTAL),R3,898,VILLA LOS TULIPANES,2831,DU10,SECTOR 28,,
VILLA MADRID,R3,,,,,,,
VILLA MILLER,R3,,,,,,,
VILLA NELITA,R4,980,COLONIA VILLA NELITA,2410,DU04,SECTOR 24,,
VILLA NUEVA 7 A-B,R4,0,COLONIA VILLA NUEVA SECTOR 7A,2002,DU09,SECTOR 20,,
VILLA NUEVA NORTE,R3,0,COLONIA VILLA NUEVA SECTOR 3,2002,DU09,SECTOR 20,,
VILLA NUEVA SECTOR 1,R4,0,COLONIA VILLA NUEVA SECTOR 4,2002,DU09,SECTOR 20,,
VILLA NUEVA SECTOR 5,R4,0,COLONIA VILLA NUEVA SECTOR 5,2002,DU09,SECTOR 20,,
VILLA NUEVA SECTOR 6,R4,0,"COLONIA VILLA NUEVA SECTOR 6, ETAPA 1 ( SECTOR ILOVARES )",2002,DU09,SECTOR 20,,
VILLA NUEVA SUR,R3,0,COLONIA VILLA NUEVA SECTOR 3,2002,DU09,SECTOR 20,,
VILLA NUEVA SUYAPA 1,R3,0,COLONIA VILLA NUEVA SECTOR 4,2002,DU09,SECTOR 20,,
VILLA NUEVA SUYAPA 3,R3,0,COLONIA VILLA NUEVA SUYAPA,2901,DU08,SECTOR 29,,
VILLA NUEVA SUYAPA 4,R3,0,COLONIA VILLA NUEVA SUYAPA,2901,DU08,SECTOR 29,,
VILLA NUEVA SUYAPA2,R3,0,COLONIA VILLA NUEVA SUYAPA,2901,DU08,SECTOR 29,,
VILLA OLIMPICA,R3,672,VILLA SUYAPA OLIMPICA,1711,DU02,SECTOR 17,,
VILLA QUEZADA,R4,321,VILLA QUEZADA,0,DU11,SECTOR 13,,
VILLA REYES,R4,625,VILLA REYES I  ETAPA,1328,DU05,SECTOR 13,,
VILLA SAN ANTONIO O BOQUERON,R3,615,COLONIA VILLA SAN ANTONIO O BOQUERON,1325,DU05,SECTOR 13,,
VILLA SAN CARALAMPIO,R3,,,,,,,
VILLA SAN IGNACIO CONDOMINIO HORIZONTAL,R2,161,COLONIA SAN IGNACIO,1802,DU02,SECTOR 18,,
VILLA SAN JORGE,R3,905,RESIDENCIAL VILLA SAN JORGE,2822,DU10,SECTOR 28,,
VILLA SAN JOSE DE CARRIZAL,R3,,,,,,,
VILLA SAN RAFAEL 2003,R3,399,RESIDENCIAL VILLA SAN RAFAEL,2336,DU04,SECTOR 23,,
VILLA SANTA MARGARITA,R3,563,COLONIA VILLA SANTA MARGARITA,942,DU07,SECTOR 09,,
VILLA SANTA MARIA,R2-R3,338,VILLA SANTA MARIA,0,DU03,SECTOR 19,,
VILLA SUYAPA (VILLA OLIMPICA),R4,672,VILLA SUYAPA OLIMPICA,1711,DU02,SECTOR 17,,
VILLA TERRANOVA(COL AMERICA),R3,426,VILLA TERRANOVA,0,DU04,SECTOR 23,,
VILLA TOSCANA,R3,407,RESIDENCIAL VILLA TOSCANA ETAPA I,2364,DU10,SECTOR 23,,
VILLA UNION,R4,787,COLONIA VILLA UNION,769,DU06,SECTOR 07,,
VILLA UNIVERSITARIA,R3,732,RESIDENCIAL VILLA UNIVERSITARIA I ETAPA,1625,DU02,SECTOR 16,,
VILLA VIEJA,R4,,,,,,,
VILLAS ALCALA,R2,,,,,,,
VILLAS COLONIAL,R3,740,RESIDENCIAL VILLA COLONIAL,1647,DU08,SECTOR 16,,
VILLAS COLONIAL,R3,202,RESIDENCIAL VILLA COLONIAL,2034,DU03,SECTOR 20,,
VILLAS CONCEPCION,R3,887,RESIDENCIAL VILLAS LA CONCEPCION,2829,DU10,SECTOR 28,,
VILLAS DE CENTROAMERICA,R3,722,RESIDENCIAL VILLA CENTROAMERICANA,1622,DU02,SECTOR 16,,
VILLAS DE LAS HADAS (CONDOMINIO HORIZONTAL),R2,410,RESIDENCIAL VILLAS DE LAS HADAS,2348,DU04,SECTOR 23,,
VILLAS DE SAN SEBASTIAN,R3,871,RESIDENCIAL VILLAS DE SAN SEBASTIAN,2716,DU09,SECTOR 27,,
VILLAS DE TILOARQUE,R4,36,RESIDENCIAL VILLA DE TILOARQUE I ETAPA,1234,DU04,SECTOR 12,,
VILLAS DEL CAMPO,R3,,,,,,,
VILLAS DEL CAMPO I,R3,,,,,,,
VILLAS DEL CAMPO II,R3,,,,,,,
VILLAS DEL ESTE,R4,741,RESIDENCIAL VILLA D'ESTE,1650,DU08,SECTOR 16,,
VILLAS DEL MOLINO (CONDOMINIO HORIZONTAL),R3,709,CONDOMINIOS RESIDENCIALES VILLAS DEL MOLINO,1651,DU08,SECTOR 16,,
VILLAS DEL REAL / VILLA DE PALMERAS,R3,895,VILLA LAS PALMERAS,2814,DU10,SECTOR 28,,
VILLAS DEL RIO,R4,557,COLONIA VILLAS DEL RIO,915,DU07,SECTOR 09,,
VILLAS ESQUIVEL PEREZ,R1,,,,,,,
VILLAS INTERAMERICANAS 2004,R2,837,RESIDENCIAL VILLA INTERAMERICANA,0,DU05,SECTOR 13,,
VILLAS LAS ACACIAS EL SAUCE I ETAPA,R3,409,VILLA LAS ACACIAS (EL SAUCE),2358,DU10,SECTOR 23,,
VILLAS LOMAS DE MIRAFLORES,R3,221,RESIDENCIAL LOMAS DE MIRAFLORES SUR,1921,DU03,SECTOR 19,,
VILLAS LOS GERANIOS EL SAUCE I ETAPA,R3,899,VILLA LOS GERANIOS,2826,DU10,SECTOR 28,,
VILLAS LOS PINOS EL SAUCE I ETAPA,R3,408,VILLA LOS PINOS (EL SAUCE),2362,DU10,SECTOR 23,,
VILLAS MARIA,R3,424,VILLAS MARIA,0,DU04,SECTOR 23,,
VILLAS MARIA COL LA MODELO,R3,422,COLONIA MODELO,2318,DU04,SECTOR 23,,
VILLAS MILANO,R4,845,RESIDENCIAL VILLAS MILANO,1653,DU02,SECTOR 16,,
VILLAS NUEVA SUYAPA,R4,0,COLONIA VILLA NUEVA SUYAPA,2901,DU08,SECTOR 29,,
VILLAS PALMERA ( SAN IGNACIO),R1,161,COLONIA SAN IGNACIO,1802,DU02,SECTOR 18,,
VILLAS PALMERAS EL SAUCE II ETAPA (CONDOMINIO HORIZONTAL),R3,895,VILLA LAS PALMERAS,2814,DU10,SECTOR 28,,
VILLAS SAN IGNACION - GAUBANA,R2,161,COLONIA SAN IGNACIO,1802,DU02,SECTOR 18,,
VILLAS TELLI,R3,,,,,,,
VILLAS TILOARQUE SEGUNDA ETAPA,R4,36,RESIDENCIAL VILLA DE TILOARQUE I ETAPA,1234,DU04,SECTOR 12,,
VISBELLA (CERRO GRANDE ZONA 8),R3,521,RESIDENCIAL VISBELLA,844,DU06,SECTOR 08,,
VISTA HERMOSA,R3,205,RESIDENCIAL VISTA HERMOSA,2011,DU03,SECTOR 20,,
VISTA HERMOSA,R4,54,COLONIA  VISTA HERMOSA,1312,DU11,SECTOR 13,,
VISTA HERMOSA DEL NORTE,R3,,,,,,,
VISTALI (CERRO GRANDE ZONA 8),R3,521,RESIDENCIAL VISBELLA,844,DU06,SECTOR 08,,
YAGUACIRE (CASERIO EL OJO DE AGUA),R3,885,CASERIO OJO DE AGUA,0,DU10,SECTOR 28,,
YAGUACIRE (CASERIO EL PORTILLO),R3,843,CASERIO EL PORTILLO,1405,DU06,SECTOR 14,,
YAGUACIRE (CASERIO LAS JOYAS),R3,194,ALDEA LA JOYA,2021,DU03,SECTOR 20,,
ZAPOTE 29,R3,0,COLONIA EL ZAPOTE,0,DU08,SECTOR 29,,
ZAPOTE CENTRO,R4,794,COLONIA ZAPOTE CENTRO,724,DU05,SECTOR 07,,
ZAPOTE NORTE,R4,793,COLONIA ZAPOTE NORTE,765,DU05,SECTOR 07,,
ZARAGOZA,R4,10,COLONIA ZARAGOZA,211,DU07,,,
ZARAGOZA NORTE,R2,10,COLONIA ZARAGOZA,211,DU07,,,
ZARAGOZA SUR,R2,10,COLONIA ZARAGOZA,211,DU07,,,
ZARAHEMLA I ETAPA,R3,716,RESIDENCIAL ZARAHEMLA I ETAPA,1654,DU02,SECTOR 16,,
ZARAHEMLA II ETAPA,R3,717,RESIDENCIAL ZARAHEMLA II ETAPA,1656,DU02,SECTOR 16,,
ZONA PUENTE LOARQUE,R3,,,,,,,
ZUNLACAL,R2,423,COLONIA ZUNLACAL,2301,DU04,SECTOR 23,,
